Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
eclipse.pde.ui-20021205c,org.eclipse.pde.core,IEditable,0,0,4,3,24,4,0,0,-1.0,3,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core,IIdentifiable,1,1,2,1,19,2,0,0,-1.0,0,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core,IModel,0,0,11,4,61,11,0,0,-1.0,18,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core,IModelChangeProvider,0,0,4,4,28,4,0,0,-1.0,6,2
eclipse.pde.ui-20021205c,org.eclipse.pde.core,IModelChangedEvent,4,0,5,5,46,5,1,0,-1.0,44,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core,IModelChangedListener,0,0,1,1,10,1,0,0,-1.0,2,1
eclipse.pde.ui-20021205c,org.eclipse.pde.core,ISourceObject,0,0,2,2,15,2,0,0,-1.0,2,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core,IWritable,0,0,1,0,11,1,0,0,-1.0,0,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core,ModelChangedEvent,5,0,7,7,66,7,0,1,0.0,4,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.build,IBuild,0,0,4,0,26,4,0,0,-1.0,0,1
eclipse.pde.ui-20021205c,org.eclipse.pde.core.build,IBuildEntry,2,2,8,0,51,8,0,0,-1.0,2,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.build,IBuildModel,0,0,3,1,20,3,0,0,-1.0,6,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.build,IBuildModelFactory,0,0,1,0,10,1,0,0,-1.0,0,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IFragment,3,3,6,0,50,6,0,2,-1.0,2,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IFragmentModel,0,0,1,1,10,1,0,1,-1.0,2,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IMatchRules,10,0,0,0,45,0,1,0,-1.0,1,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPlugin,1,1,2,0,19,2,0,2,-1.0,5,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginAttribute,1,1,2,0,19,2,0,1,-1.0,3,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginBase,4,4,18,0,112,18,2,1,-1.0,16,4
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginElement,3,3,7,1,54,7,0,2,-1.0,9,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginExtension,1,1,2,0,18,2,0,2,-1.0,13,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginExtensionPoint,1,1,3,0,23,3,0,1,-1.0,7,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginImport,2,2,4,4,33,4,0,2,-1.0,6,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginLibrary,6,6,9,1,72,9,0,1,-1.0,2,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginModel,0,0,1,1,10,1,0,1,-1.0,2,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginModelBase,0,0,9,3,48,9,2,0,-1.0,28,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginModelFactory,0,0,6,0,37,6,0,0,-1.0,7,2
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginObject,1,0,8,2,49,8,6,0,-1.0,12,0
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginParent,1,1,7,2,48,7,2,1,-1.0,2,1
eclipse.pde.ui-20021205c,org.eclipse.pde.core.plugin,IPluginReference,2,2,4,4,35,4,1,1,-1.0,1,0
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,AbstractModel,6,0,16,11,73,24,0,0,0.5,0,4
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,BinaryRepositoryProvider,2,0,18,15,133,29,0,0,0.4444444444444444,0,1
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,0,0,6,6,46,10,0,0,-1.0,0,0
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,BinaryFileModificationValidator,0,0,2,2,22,5,0,0,-1.0,0,0
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,BuildPathUtilCore,0,0,22,6,260,62,0,0,-1.0,3,3
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,Choice,2,0,4,4,21,4,0,0,0.0,3,0
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,CoreArraySorter,1,1,1,1,9,1,0,1,0.0,3,1
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,CoreSorter,0,0,4,3,34,12,1,0,-1.0,0,0
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,CoreUtility,0,0,3,3,29,6,0,0,-1.0,7,1
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,EclipseHomeInitializer,0,0,2,2,15,2,0,0,-1.0,0,0
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,EntryFileAdapter,1,0,2,2,15,2,0,1,0.0,0,2
eclipse.pde.ui-20021205c,org.eclipse.pde.internal.core,ExternalModelManager,8,0,40,27,458,116,0,0,0.075,5,7
