Project Name,Package Name,Type Name,Method Name,Code Smell
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDELabelProvider,getText,Complex Method
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,Long Statement
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDELabelProvider,getImage,Complex Method
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDELabelProvider,getModelFlags,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDEPerspective,createInitialLayout,Magic Number
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDEPerspective,createInitialLayout,Magic Number
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDEPerspective,createInitialLayout,Magic Number
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDEPlugin,getResourceString,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui,PDEPluginImages,getImageDescriptorFromPlugin,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,AttributeClassCodeGenerator,Long Parameter List
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,addRequiredMethodsFor,Complex Method
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,calculateReturnValue,Complex Method
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,calculateReturnValue,Missing default
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,findMatchingMethod,Long Statement
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,findRequiredMethods,Complex Conditional
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,findRequiredMethods,Long Statement
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,generateContents,Complex Method
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,generateContents,Long Statement
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,parseSignature,Complex Method
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,parseSignature,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,getFullyQualifiedName,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.codegen,JavaCodeGenerator,generate,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,DefaultPageDialog,DefaultPageDialog,Long Statement
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEEditorContributor,setActivePage,Complex Conditional
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEFormPage,PDEFormPage,Abstract Function Call From Constructor
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEFormPage,isWhiteBackground,Magic Number
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEFormPage,isWhiteBackground,Magic Number
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEFormPage,isWhiteBackground,Magic Number
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEFormPage,getContentOutlinePage,Complex Conditional
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEFormPage,getContentOutlinePage,Long Statement
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEFormPage,getPropertySheetPage,Complex Conditional
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEFormPage,getPropertySheetPage,Long Statement
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,PDEMultiPageEditor,Abstract Function Call From Constructor
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,createPartControl,Complex Method
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,storeDefaultPage,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,doSave,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,init,Complex Method
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,copyToClipboard,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,copyToClipboard,Long Statement
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageXMLEditor,setDocumentContent,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageXMLEditor,setDocumentContent,Magic Number
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageXMLEditor,doSaveDocument,Empty catch clause
eclipse.pde.ui-20030812_junit,org.eclipse.pde.internal.ui.editor,PDEMultiPageXMLEditor,doSaveDocument,Empty catch clause
