Project Name,Package Name,Type Name,Code Smell
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,DefaultRuntimeUISupport,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,IHelpContextIds,Deficient Encapsulation
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,IHelpContextIds,Broken Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,IPDEUIConstants,Broken Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,IPreferenceConstants,Deficient Encapsulation
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,IPreferenceConstants,Broken Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,OpenPDEPerspectiveAction,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,PDELabelProvider,Insufficient Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,PDEPerspective,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,PDEPlugin,Broken Hierarchy
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,PDEPlugin,Cyclic-Dependent Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,PDEPlugin,Insufficient Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui,PDEPluginImages,Deficient Encapsulation
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.codegen,AttributeClassCodeGenerator,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.codegen,StructuredJavaCodeGenerator,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,CheckboxTableSection,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,CheckboxTableSection,Broken Hierarchy
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PartAdapter,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,FormOutlinePage,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,BasicContentProvider,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,BasicLabelProvider,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,IOpenablePropertySource,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,ModelDataTransfer,Deficient Encapsulation
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,ModelUndoManager,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,ModifiedTextPropertyDescriptor,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,NullUndoManager,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEChildFormPage,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEChildFormPage,Rebellious Hierarchy
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEEditorContributor,Deficient Encapsulation
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEEditorContributor,Cyclic-Dependent Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEEditorContributor,Insufficient Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,GlobalAction,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,ClipboardAction,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,ClipboardAction,Broken Hierarchy
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,CutAction,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,CopyAction,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PasteAction,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,SaveAction,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,RevertAction,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEFormPage,Cyclic-Dependent Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEFormPage,Insufficient Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEFormSection,Unutilized Abstraction
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEMultiPageContentOutline,Cyclic-Dependent Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,Deficient Encapsulation
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,Cyclic-Dependent Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,PDEMultiPageEditor,Insufficient Modularization
eclipse.pde.ui-20031118a,org.eclipse.pde.internal.ui.editor,ElementListener,Unutilized Abstraction
