Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,DefaultRuntimeUISupport,getLabelProvider,4,2,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,DefaultRuntimeUISupport,shutdown,6,2,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,IAlternativeRuntimeUISupport,getLabelProvider,0,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,IAlternativeRuntimeUISupport,shutdown,0,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,OpenPDEPerspectiveAction,OpenPDEPerspectiveAction,2,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,OpenPDEPerspectiveAction,run,13,2,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,PDELabelProvider,2,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getText,54,18,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,10,3,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,preventNull,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,4,2,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,4,2,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,15,4,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,11,3,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,16,5,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,4,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,5,2,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getImage,88,29,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,8,3,3
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getModelFlags,22,5,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,8,3,3
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,11,4,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getRequiredPluginImageDescriptor,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,5,2,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,4,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,7,4,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,13,5,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getSchemaObjectFlags,9,3,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,10,5,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,9,4,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,6,2,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,17,4,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,9,3,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,7,2,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,4,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,4,2,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDELabelProvider,isFullNameModeEnabled,3,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDEPerspective,PDEPerspective,3,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDEPerspective,createInitialLayout,8,1,1
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDEPerspective,addPerspectiveShortcuts,5,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDEPerspective,addViews,13,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDEPerspective,addActionSets,6,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDEPerspective,addNewWizardShortcuts,11,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDEPerspective,addViewShortcuts,9,1,0
eclipse.pde.ui-20040128a,org.eclipse.pde.internal.ui,PDEPlugin,PDEPlugin,10,1,1
