Project Name,Package Name,Type Name,Method Name,Code Smell
eclipse.pde.ui-20040525,org.eclipse.pde.core,ModelChangedEvent,ModelChangedEvent,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveFile,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveFolder,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveProject,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveFile,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveFolder,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveProject,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,setClasspath,Magic Number
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,computePluginEntries,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addExtraClasspathEntries,Complex Conditional
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addExtraClasspathEntries,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addExtraClasspathEntries,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addExtraClasspathEntries,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addDependency,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addDependency,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addImplicitDependencies,Complex Conditional
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addImplicitDependencies,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addImplicitDependencies,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,addSourceAndLibraries,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,containsVariables,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,expandLibraryName,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ClasspathUtilCore,resolveLibraryInFragments,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,EclipseHomeInitializer,resetEclipseHomeVariables,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ExternalModelManager,getCorrectPath,Magic Number
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ExternalModelManager,getCorrectPath,Magic Number
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ExternalModelManager,getCorrectPath,Magic Number
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ExternalModelManager,shutdown,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelEntry,shouldUpdateClasspathContainer,Complex Conditional
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelEntry,usesContainers,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelEntry,updateUnknownClasspathContainer,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelEntry,isAffected,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelEntry,getRequiredIds,Complex Conditional
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelEntry,getRequiredIds,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelEntry,getRequiredIds,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelEntry,getRequiredIds,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,ModelProviderEvent,ModelProviderEvent,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,NLResourceHelper,NLResourceHelper,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEClasspathContainer,verifyWithAttachmentManager,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDECore,compare,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDECore,compare,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDECore,getResourceString,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDECore,initializeDefaultPluginPreferences,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDECore,initializeDefaultPluginPreferences,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDECore,initializeModels,Complex Conditional
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDECore,acquirePlatform,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDECore,acquirePlatform,Magic Number
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEPluginConverter,convertToOSGIFormat,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEPluginConverter,convertToOSGIFormat,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEState,addBundle,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEState,addBundle,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEState,loadManifest,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEState,loadManifest,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEStateHelper,getDependentBundlesWithFragments,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEStateHelper,getDependentBundlesWithFragments,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEStateHelper,getClasspath,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEStateHelper,getImportedBundles,Complex Conditional
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEStateHelper,getImportedBundles,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PDEStateHelper,getRequiredBundles,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,SiteEntry,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,computeFeaturesChangeStamp,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,computePluginsChangeStamp,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,computeStamp,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,FeatureEntry,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,FeatureEntry,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,Parser,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,Parser,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,getElement,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,load,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,load,Magic Number
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,load,Magic Number
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,createFeatureEntry,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,createFeatureEntry,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,findConfiguredSite,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,startup,Long Parameter List
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,startup,Long Statement
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,initializeCurrent,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,initializeCurrent,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,resetInitializationLocation,Complex Conditional
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,getConfigurationLock,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,clearConfigurationLock,Empty catch clause
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,configureExternalLinks,Complex Method
eclipse.pde.ui-20040525,org.eclipse.pde.internal.core,PlatformConfiguration,configureExternalLinks,Empty catch clause
