Project Name,Package Name,Type Name,Code Smell
eclipse.pde.ui-20041214,org.eclipse.pde.core,IEditable,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core,IEditableModel,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core,IIdentifiable,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core,IIdentifiable,Deficient Encapsulation
eclipse.pde.ui-20041214,org.eclipse.pde.core,IModel,Broken Hierarchy
eclipse.pde.ui-20041214,org.eclipse.pde.core,IModelProvider,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core,IWritable,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.build,IBuild,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.build,IBuildEntry,Deficient Encapsulation
eclipse.pde.ui-20041214,org.eclipse.pde.core.build,IBuildModelFactory,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IExtensions,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IExtensionsModel,Unnecessary Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IExtensionsModel,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IExtensionsModelFactory,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IMatchRules,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IMatchRules,Broken Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IPluginBase,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IPluginElement,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IPluginExtension,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IPluginModel,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IPluginModelBase,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IPluginModelFactory,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IPluginParent,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,IPluginReference,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.core.plugin,ISharedExtensionsModel,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,AbstractModel,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,BinaryRepositoryProvider,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,BinaryFileModificationValidator,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ClasspathUtilCore,Cyclic-Dependent Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,EntryFileAdapter,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,EntryFileAdapter,Broken Hierarchy
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ExtensionsHandler,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ExternalJavaSearchClasspathContainer,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ExternalJavaSearchClasspathContainer,Broken Hierarchy
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ExternalJavaSearchClasspathContainer,Cyclic-Dependent Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ExternalJavaSearchInitializer,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ExternalModelManager,Cyclic-Dependent Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,FileAdapter,Cyclic-Dependent Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ICoreConstants,Broken Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ICoreModel,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ICoreModel,Deficient Encapsulation
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ICoreModel,Broken Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,IEnvironmentVariables,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,IEnvironmentVariables,Broken Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,IFileAdapterFactory,Cyclic-Dependent Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,IPluginModelListener,Cyclic-Dependent Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,JavaElementChangeListener,Cyclic-Dependent Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,JavadocLocationManager,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ModelEntry,Deficient Encapsulation
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,ModelEntry,Cyclic-Dependent Modularization
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,NLResourceHelper,Deficient Encapsulation
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,PDEClasspathContainer,Unutilized Abstraction
eclipse.pde.ui-20041214,org.eclipse.pde.internal.core,PDECore,Unutilized Abstraction
