Project Name,Package Name,Type Name,Code Smell
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,IHelpContextIds,Deficient Encapsulation
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,IHelpContextIds,Broken Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,IPDEUIConstants,Broken Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,IPreferenceConstants,Deficient Encapsulation
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,IPreferenceConstants,Broken Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,OpenPDEPerspectiveAction,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,Cyclic-Dependent Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,Insufficient Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDEPerspective,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDEPlugin,Broken Hierarchy
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDEPlugin,Cyclic-Dependent Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDEPlugin,Insufficient Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDEPluginImages,Deficient Encapsulation
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDEPluginImages,Cyclic-Dependent Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDEUIMessages,Deficient Encapsulation
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDEUIMessages,Broken Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,BuildFeatureAction,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,BuildPluginAction,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,BuildSiteAction,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,BuildSiteJob,Broken Hierarchy
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,FeatureExportInfo,Deficient Encapsulation
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,FeatureExportInfo,Broken Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,FeatureExportJob,Insufficient Modularization
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,SchedulingRule,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,PluginExportJob,Broken Hierarchy
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.build,ProductExportJob,Broken Hierarchy
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.editor,EmptyOutlinePage,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.editor,FormEntryAdapter,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.editor,FormOutlinePage,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.editor,BasicContentProvider,Unutilized Abstraction
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui.editor,BasicLabelProvider,Unutilized Abstraction
