Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,OpenPDEPerspectiveAction,OpenPDEPerspectiveAction,2,1,0
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,OpenPDEPerspectiveAction,run,15,2,0
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,PDELabelProvider,2,1,0
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getText,66,22,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,10,3,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,preventNull,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,6,2,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,11,3,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,15,4,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,8,2,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,16,5,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,4,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,3,1,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectText,5,2,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getImage,93,31,1
eclipse.pde.ui-20050911_preapi,org.eclipse.pde.internal.ui,PDELabelProvider,getObjectImage,3,1,1
