Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IBaseModel,0,0,4,0,25,4,1,0,-1.0,21,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IEditable,0,0,4,3,26,4,1,0,-1.0,5,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IEditableModel,0,0,1,0,10,1,0,1,-1.0,1,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IIdentifiable,1,1,2,1,20,2,0,0,-1.0,1,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IModel,0,0,9,5,56,9,0,1,-1.0,24,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IModelChangeProvider,0,0,4,4,29,4,0,0,-1.0,14,2
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IModelChangedEvent,4,0,6,6,52,6,1,0,-1.0,122,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IModelChangedListener,0,0,1,1,11,1,0,0,-1.0,7,1
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IModelProvider,0,0,3,1,22,3,0,0,-1.0,0,1
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IModelProviderEvent,4,0,5,0,47,5,0,0,-1.0,11,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IModelProviderListener,0,0,1,1,11,1,0,0,-1.0,6,1
eclipse.pde.ui-20060228a,org.eclipse.pde.core,ISourceObject,0,0,2,2,16,2,0,0,-1.0,1,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,IWritable,0,0,1,0,12,1,0,0,-1.0,1,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core,ModelChangedEvent,6,0,8,8,80,8,0,1,0.0,7,1
eclipse.pde.ui-20060228a,org.eclipse.pde.core.build,IBuild,0,0,4,0,26,4,0,0,-1.0,27,1
eclipse.pde.ui-20060228a,org.eclipse.pde.core.build,IBuildEntry,7,7,8,0,74,8,0,0,-1.0,33,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core.build,IBuildModel,0,0,3,0,20,3,0,0,-1.0,23,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core.build,IBuildModelFactory,0,0,1,0,10,1,0,0,-1.0,2,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core.plugin,IExtensions,1,0,8,0,52,8,1,1,-1.0,3,2
eclipse.pde.ui-20060228a,org.eclipse.pde.core.plugin,IExtensionsModel,0,0,0,0,5,0,0,2,-1.0,0,0
eclipse.pde.ui-20060228a,org.eclipse.pde.core.plugin,IExtensionsModelFactory,0,0,4,0,28,4,1,0,-1.0,1,2
eclipse.pde.ui-20060228a,org.eclipse.pde.core.plugin,IFragment,3,0,6,0,50,6,0,3,-1.0,12,0
