Project Name,Package Name,Type Name,Code Smell
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,Deficient Encapsulation
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.builder.tests,OSGiLessAnalysisTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.builder.tests,UsageLeakTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.builder.tests,UsageLeakTests,Broken Hierarchy
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.builder.tests,UsageLeakTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,AllDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,AnnotationDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,BundlesDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,ClassDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,ClassDeltaTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,MyDeltaVisitor,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,DeltaTestSetup,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,EnumDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,FieldDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,FieldDeltaTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,InterfaceDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,InterfaceDeltaTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,MethodDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,MethodDeltaTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,MixedTypesDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.comparator.tests,RestrictionsDeltaTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ApiDescriptionTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ApiDescriptionTests,Deficient Encapsulation
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ApiDescriptionTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ElementDescription,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ElementDescription,Deficient Encapsulation
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ApiFilterStoreTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ApiProfileTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ClassFileContainerTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ClassFileScannerTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ClassFileScannerTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ComponentManifestTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ElementDescriptorTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,ElementDescriptorTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,TagScannerTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,TagScannerTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,TestSuiteHelper,Deficient Encapsulation
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.model.tests,TestSuiteHelper,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.problems.tests,ApiProblemFactoryTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.problems.tests,ApiProblemTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.problems.tests,ApiProblemTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.reference.tests,DiscouragedAccessTests,Imperative Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.reference.tests,DiscouragedAccessTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.reference.tests,SearchEngineTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.reference.tests,SearchScopeTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.tests,AbstractApiTest,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.tests,AllTestSuite,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.tests,ApiToolsPerformanceTestSuite,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.tests.util,FileUtils,Deficient Encapsulation
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.tests.util,ProjectUtils,Deficient Encapsulation
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.tests.util,ProjectUtils,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.tests.util,TestFieldData,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,AbstractApiEventWaiter,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,ApiDescriptionProcessorTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,ChangeVisitor,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,ApiProfileManagerTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,ApiProfileManagerTests,Insufficient Modularization
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,SourceChangeVisitor,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,HeadlessApiProfileManagerTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,JavaModelEventWaiter,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,PluginModelEventWaiter,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,PluginModelEventWaiter,Broken Hierarchy
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,PreferencesTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,ProjectCreationTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,org.eclipse.pde.api.tools.util.tests,UtilTests,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.annotations,MemberType,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.annotations,MemberType,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.annotations,ToClass,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.annotations,ToClass,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.annotations,ToInterface,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.annotations,ToInterface,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,DeleteAndReplace,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,DeleteAndReplace,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,PublicToPackageVisibility,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,PublicToPackageVisibility,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,RemovePublicClass,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,RemovePublicClass,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,DeleteAndReplace,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,DeleteAndReplace,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,PublicToPackageVisibility,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles,PublicToPackageVisibility,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles.internal,RemovePrivateClass,Unnecessary Abstraction
eclipse.pde.ui-20081008_perf34x,a.bundles.internal,RemovePrivateClass,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.classes.constructors,AddPrivateConstructor,Unutilized Abstraction
eclipse.pde.ui-20081008_perf34x,a.classes.constructors,AddProtectedConstructor,Unutilized Abstraction
