Project Name,Package Name,Type Name,Code Smell
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,IHelpContextIds,Unnecessary Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,IHelpContextIds,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimeMessages,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimeMessages,Broken Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePluginImages,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,DiagnosticsDialog,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,Insufficient Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,GroupByAction,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryDrillDownAdapter,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowserContentProvider,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowserContentProvider,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowserLabelProvider,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowserModelChangeListener,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryFilteredTree,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Attribute,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Attribute,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Bundle,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Bundle,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Bundle,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Bundle,Insufficient Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,BundleLibrary,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,BundlePrerequisite,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ConfigurationElement,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Extension,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ExtensionPoint,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Folder,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Folder,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,LocalRegistryBackend,Insufficient Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ModelChangeDelta,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ModelChangeDelta,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ModelChangeListener,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ModelObject,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,Property,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,RegistryModel,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,RegistryModel,Insufficient Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ServiceName,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ServiceRegistration,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry.model,ServiceRegistration,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy,SpyFormToolkit,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy,SpyHyperlinkAdapter,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.dialogs,SpyDialog,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.dialogs,CloseAction,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.handlers,SpyHandler,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ActiveDialogPageSection,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ActiveFormEditorSection,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ActiveHelpSection,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ActivePartSection,Imperative Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ActivePartSection,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ActiveSelectionSection,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ActiveShellSection,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ActiveWizardSection,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.spy.sections,ISpySection,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,AbstractStructuredCommand,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,BooleanSelectionCommand,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,BooleanSelectionCommand,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,CheckCommand,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,CheckCommand,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,CheckCommand,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,ChoiceSelectionCommand,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,ChoiceSelectionCommand,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,EditorCommandTarget,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,ExpansionCommand,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,ExpansionCommand,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,ExpansionCommand,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,FocusCommand,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,FocusCommand,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,KeyCommand,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,KeyCommand,Deficient Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,Macro,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,MacroCommand,Broken Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,MacroCommand,Cyclic-Dependent Modularization
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,MacroCommandShell,Unutilized Abstraction
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,MacroCommandShell,Unexploited Encapsulation
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,MacroCommandShell,Missing Hierarchy
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.ui.tests.macro,MacroCommandShell,Cyclic-Dependent Modularization
