Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,MessageHelper,getResolutionFailureMessage,9,5,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,MessageHelper,toString,5,2,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,OverlayIcon,6,2,2
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,OverlayIcon,6,2,3
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,drawBottomLeft,12,4,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,drawBottomRight,12,4,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,drawCompositeImage,10,6,2
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,drawTopLeft,12,4,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,drawTopRight,12,4,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,OverlayIcon,getSize,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,PDERuntimePlugin,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,isBundleAvailable,4,1,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getActivePage,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getActiveWorkbenchShell,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getActiveWorkbenchWindow,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getPackageAdmin,6,2,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getPlatformAdmin,6,2,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getDefault,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getPluginId,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,internalGetActivePage,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,start,8,1,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getBundleContext,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,getState,3,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,log,11,5,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePlugin,stop,11,3,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePluginImages,initialize,13,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePluginImages,create,3,1,2
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePluginImages,get,4,2,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePluginImages,makeIconURL,4,1,2
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime,PDERuntimePluginImages,manage,5,1,2
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,DiagnosticsDialog,DiagnosticsDialog,3,1,5
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,DiagnosticsDialog,createDialogArea,5,1,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,DiagnosticsDialog,createButtonsForButtonBar,3,1,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,GroupByAction,4,1,2
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,run,4,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,select,6,4,3
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,select,6,2,3
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,RegistryDrillDownAdapter,3,1,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,goInto,5,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,goBack,5,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,goHome,5,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,goInto,5,1,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,initializeModel,14,1,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,run,4,1,1
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,init,6,2,2
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,initializeMemento,6,5,0
eclipse.pde.ui-20090106-1000,org.eclipse.pde.internal.runtime.registry,RegistryBrowser,dispose,8,2,0
