Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,9,5,66,3,1064,145,1,0,0.21212121212121213,3,11
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests,ApiProblem,1,0,3,3,36,3,0,0,0.0,5,1
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,6,0,37,21,517,78,0,0,0.2972972972972973,3,7
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests,BaselineProblemTests,0,0,6,2,36,6,0,1,-1.0,1,1
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests,OSGiLessAnalysisTests,0,0,1,1,25,2,0,0,-1.0,0,5
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,AnnotationCompatibilityTests,2,0,32,20,193,32,0,1,0.1875,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,BundleCompatibilityTests,3,0,17,10,107,17,0,1,0.4117647058823529,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,BundleMergeSplitTests,6,2,30,11,391,53,0,0,0.23333333333333334,1,14
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityConstructorTests,2,0,68,44,365,68,0,2,0.07352941176470588,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityFieldTests,2,0,53,34,286,53,0,2,0.09433962264150944,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityHierarchyTests,2,0,40,24,232,40,0,2,0.15,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityMemberTypeTests,2,0,46,28,246,46,0,2,0.13043478260869565,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityMethodTests,2,0,68,44,360,68,0,2,0.07352941176470588,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityModifierTests,2,0,42,26,225,42,0,2,0.14285714285714285,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityRestrictionTests,2,0,29,18,150,29,0,2,0.1724137931034483,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityTests,1,0,6,2,74,7,8,1,0.6666666666666666,1,1
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ClassCompatibilityTypeParameterTests,2,0,45,28,268,45,0,2,0.13333333333333333,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,CompatibilityTest,0,0,12,2,183,22,10,0,-1.0,2,9
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,ConstructorCompatibilityTests,2,0,42,26,240,42,0,1,0.14285714285714285,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,EnumCompatibilityTests,2,0,29,18,180,29,0,1,0.20689655172413793,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,FieldCompatibilityModifierTests,2,0,92,60,498,92,0,2,0.05434782608695652,1,4
eclipse.pde.ui-20090128-0900,org.eclipse.pde.api.tools.builder.tests.compatibility,FieldCompatibilityTests,0,0,7,2,73,8,1,1,-1.0,1,1
