Project Name,Package Name,Type Name,Method Name,Code Smell
eclipse.pde.ui-20090203-1200,org.eclipse.pde.core,ModelChangedEvent,ModelChangedEvent,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveFile,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveFolder,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveProject,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveFile,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveFolder,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveProject,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,getSourceRoots,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,getSourceEntries,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,getSourceEntries,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,hashCode,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,hashCode,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,SourceLocationKey,hashCode,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,SourceLocationKey,hashCode,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,getClasspath,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,addSourceAndLibraries,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,addSourceAndLibraries,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,addSourceAndLibraries,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,getClasspathAttributes,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,addLibraryEntry,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,addJARdPlugin,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,createClasspathEntry,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,createClasspathEntry,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,createClasspathEntry,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,setComplianceOptions,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,setCompliance,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,setMinimumCompliance,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,setMinimumCompliance,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,setMinimumCompliance,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,setMinimumCompliance,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,createEntryUsingPreviousEntry,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathComputer,createEntryUsingPreviousEntry,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevEntriesProperties,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevEntriesProperties,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevEntriesProperties,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevEntriesProperties,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevEntriesProperties,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevEntriesProperties,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevDictionary,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getClasspathMap,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getClasspathMap,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,findLibrary,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevPaths,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevPaths,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevPaths,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,getDevPaths,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathHelper,findLibraryFromFragments,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathUtilCore,containsVariables,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ClasspathUtilCore,expandLibraryName,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,DependencyManager,getDependencies,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,DependencyManager,getDependencies,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,DependencyManager,addBundleAndDependencies,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,DependencyManager,addBundleAndDependencies,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,DependencyManager,addBundleAndDependencies,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,DependencyManager,addBundleAndDependencies,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,EclipseHomeInitializer,resetEclipseHomeVariable,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ExternalFeatureModelManager,createModel,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ExternalFeatureModelManager,createModel,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ExternalJavaSearchInitializer,initialize,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,FeatureModelDelta,contains,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,FeatureModelDelta,contains,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,FeatureModelDelta,contains,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,FeatureModelManager,processEvent,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,FeatureModelManager,adjustExternalVisibility,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,FeatureTable,removeImpl,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,FeatureTable,toString,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,JavaElementChangeListener,ignoreDelta,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,JavaElementChangeListener,isInterestingProject,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,JavaElementChangeListener,save,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,JavaElementChangeListener,load,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,JavaElementChangeListener,load,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,JavaElementChangeListener,synchronizeManifests,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,run,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,run,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,run,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,run,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,run,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,run,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,loadProgramArgs,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,loadJREInfo,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,loadPlugins,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,loadPlugins,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,loadPlugins,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,loadPlugins,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,loadPlugins,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handleReload,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handleReload,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handleReload,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handleReload,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handleReload,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,getURLs,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,getURLs,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,getURLs,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,getURLs,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handlePluginSelection,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handlePluginSelection,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handlePluginSelection,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handlePluginSelection,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handlePluginSelection,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handlePluginSelection,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,handlePluginSelection,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,getPluginIds,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,LoadTargetOperation,getPluginIds,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,addBundle,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,loadManifest,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,loadManifest,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,loadManifest,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,loadManifest,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,loadManifest,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,logResolutionErrors,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,logResolutionErrors,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,logResolutionErrors,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,MinimalState,getResolutionFailureMessage,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ModelProviderEvent,ModelProviderEvent,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,readBundles,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,readSourceBundles,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,getBundlesFromFile,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,writeBundlesTxt,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,writeBundlesTxt,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,writeBundlesTxt,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,writeBundlesTxt,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,writeBundlesTxt,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,writeBundlesTxt,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,P2Utils,writeBundlesTxt,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEAuxiliaryState,createPluginInfo,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEAuxiliaryState,savePluginInfo,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEAuxiliaryState,writePluginInfo,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEAuxiliaryState,writePluginInfo,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEAuxiliaryState,writePluginInfo,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEAuxiliaryState,writePluginInfo,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEAuxiliaryState,writePluginInfo,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEAuxiliaryState,getClasspath,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEClasspathContainer,addExternalPlugin,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEClasspathContainer,addExternalPlugin,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEClasspathContainer,addExternalPlugin,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEClasspathContainer,addLibraryEntry,Long Parameter List
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEClasspathContainer,getClasspathAttributes,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDECore,start,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDECore,stop,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEExtensionRegistry,getRegistry,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEExtensionRegistry,findExtensionPlugins,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEExtensionRegistry,findExtensions,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEExtensionRegistry,getPlugin,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEManager,getBundleLocalization,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDERegistryStrategy,modelsChanged,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDERegistryStrategy,getFile,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDERegistryStrategy,getInputStream,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDERegistryStrategy,getInputStream,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDERegistryStrategy,getInputStream,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDERegistryStrategy,createContributor,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDERegistryStrategy,createContributor,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,ModelListener,modelsChanged,Complex Method
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEState,PDEState,Complex Conditional
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEState,PDEState,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEState,createNewTargetState,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEState,createNewTargetState,Empty catch clause
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEState,createNewTargetState,Long Statement
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEState,createTargetModels,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEState,createTargetModels,Magic Number
eclipse.pde.ui-20090203-1200,org.eclipse.pde.internal.core,PDEState,createWorkspaceModel,Long Statement
