Project Name,Package Name,Type Name,Method Name,Code Smell
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,newTest,Complex Method
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,newTest,Empty catch clause
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,runAntScript,Long Parameter List
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,createAntRunnerArgs,Complex Method
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,createAntRunnerArgs,Long Parameter List
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,createAntRunnerArgs,Magic Number
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,createAntRunnerArgs,Magic Number
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,createAntRunnerArgs,Magic Number
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,ApiToolingApiFreezeAntTaskTests,runTaskAndVerify,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,testMissingMethod,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,testMissingMethod,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,testMissingMethod,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,testMissingMethod,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,testMissingField,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,testMissingField,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,testMissingField,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,testMissingInnerType,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testReferenceCountReportAll,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,verifyReferenceCount,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testReferenceCountReportOne,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testReferenceCountReportTwo,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testCacheSize,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testCacheSize,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testCacheSize,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testCacheSize,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testCacheSize,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testCacheSize,Magic Number
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testCacheSize,Magic Number
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,testCacheSize,Magic Number
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,equals,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,expectingOnlyProblemsFor,Complex Method
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,expectingOnlyProblemsFor,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,expectingOnlyProblemsFor,Magic Number
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,createExistingProject,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,assertProblems,Complex Method
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,expectingOnlySpecificProblemsFor,Complex Method
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,resetBuilderOptions,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,resetBuilderOptions,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,LineMapping,equals,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiProblem,ApiProblem,Long Parameter List
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,setProjectCompliance,Complex Method
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,cleanBuild,Empty catch clause
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,incrementalBuild,Empty catch clause
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,fullBuild,Empty catch clause
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,getAllJDTMarkers,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,getAllJDTMarkers,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,getMarkersFor,Empty catch clause
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,removeProject,Empty catch clause
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,revertWorkspace,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,revertWorkspace,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,OSGiLessAnalysisTests,testAnalyzer,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,OSGiLessAnalysisTests,testAnalyzer,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,OSGiLessAnalysisTests,testAnalyzer,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,OSGiLessAnalysisTests,testAnalyzer,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,OSGiLessAnalysisTests,testAnalyzer,Magic Number
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests.compatibility,AnnotationCompatibilityTests,xAddMethodwoDef,Long Statement
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests.compatibility,AnnotationCompatibilityTests,xRemoveDefValue,Long Statement
