Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,AntRunnerTestCase,3,1,8,2,131,28,4,0,0.375,0,3
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,ApiToolingAnalysisAntTaskTests,0,0,9,8,113,9,0,1,-1.0,0,0
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,ApiToolingApiFreezeAntTaskTests,0,0,6,5,47,8,0,1,-1.0,0,0
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,ApiToolingApiuseAntTaskTests,0,0,5,4,62,13,0,1,-1.0,0,1
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,ApiToolingCompareAntTaskTests,0,0,5,4,39,7,0,1,-1.0,0,0
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.anttasks.tests,ApiToolsAntTasksTestSuite,0,0,2,2,22,2,0,0,-1.0,1,0
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyProblemMarkerTests,1,0,5,4,109,7,0,0,0.0,0,3
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyTestSuite,0,0,2,2,20,2,0,0,-1.0,0,0
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ExternalDependencyTestUtils,3,2,5,4,102,10,0,0,0.6,4,9
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.apiusescan.tests,ReferenceCountTests,2,0,6,5,70,12,0,0,0.0,0,8
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiBuilderTest,13,5,61,8,883,133,0,0,0.2786885245901639,3,12
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,LineMapping,3,0,5,5,50,7,0,0,0.0,2,3
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiProblem,2,0,4,4,44,4,0,0,0.0,10,1
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,ApiTestingEnvironment,6,0,39,24,560,84,0,0,0.2564102564102564,6,6
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests,OSGiLessAnalysisTests,0,0,1,1,27,2,0,0,-1.0,0,8
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests.compatibility,AnnotationCompatibilityTests,2,0,32,20,193,32,0,1,0.1875,1,4
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests.compatibility,BundleCompatibilityTests,3,0,17,10,107,17,0,1,0.4117647058823529,1,4
eclipse.pde.ui-20110705_j7beta,org.eclipse.pde.api.tools.builder.tests.compatibility,BundleMergeSplitTests,5,2,22,12,256,33,0,0,0.36363636363636365,1,14
