Project Name,Package Name,Type Name,Method Name,Code Smell
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,hashCode,Magic Number
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,hashCode,Magic Number
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,hashCode,Magic Number
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,checkDocStatus,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getProfileInfo,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,initializePackages,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,initializeWhiteList,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,initializeWhiteList,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,ProfileInfo,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,dumpToCache,Complex Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,dumpToCache,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getFromCache,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getSubDir,Complex Conditional
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getSubDir,Long Statement
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getSubDir,Long Statement
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,initializeBlackList,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,initializeBlackList,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,initializeData,Complex Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,initializeData,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,initializeData,Long Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,persistBlackList,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,persistDataAsClassFilesInZipFormat,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,persistDataAsClassFilesInZipFormat,Magic Number
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getBytes,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,visit,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,visitField,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,visitMethod,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,checkDocStatus,Long Statement
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,checkDocStatus,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,checkDocStatus,Long Statement
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getDocContents,Complex Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getDocContents,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,getDocContents,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,newType,Complex Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,newType,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,Type,Complex Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,Type,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,Type,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,Type,Long Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,Type,Long Parameter List
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,Type,Long Statement
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,hashCode,Magic Number
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,persistXML,Long Statement
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,main,Long Statement
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,configure,Complex Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,configure,Empty catch clause
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,configure,Long Method
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,configure,Long Statement
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,configure,Magic Number
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,EEGenerator,configure,Magic Number
eclipse.pde.ui-M20140117-0130,org.eclipse.pde.api.tools.generator,Field,hashCode,Magic Number
