Project Name,Package Name,Type Name,Method Name,Code Smell
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.core,ModelChangedEvent,ModelChangedEvent,Long Parameter List
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveFile,Long Parameter List
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveFolder,Long Parameter List
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BinaryRepositoryProvider,moveProject,Long Parameter List
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveFile,Long Parameter List
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveFolder,Long Parameter List
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BinaryMoveDeleteHook,moveProject,Long Parameter List
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,getSourceRoots,Long Statement
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,getSourceEntries,Long Statement
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,getSourceEntries,Long Statement
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Complex Conditional
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Complex Method
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Long Statement
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Long Statement
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,setPlugins,Long Statement
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,hashCode,Magic Number
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,BundleManifestSourceLocationManager,hashCode,Magic Number
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,SourceLocationKey,hashCode,Magic Number
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,SourceLocationKey,hashCode,Magic Number
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,ClasspathHelper,getDevEntriesProperties,Complex Conditional
eclipse.pde.ui-Root_Product_Customization,org.eclipse.pde.internal.core,ClasspathHelper,getDevEntriesProperties,Empty catch clause
