ClassName,nbBugs
org.apache.tools.ant.taskdefs.optional.ssh.SSHExec,2
org.apache.tools.ant.helper.ProjectHelper2,32
org.apache.tools.ant.ProjectHelper,37
org.apache.tools.ant.taskdefs.compilers.JavacExternal,1
org.apache.tools.ant.util.DOMElementWriter,1
org.apache.tools.ant.taskdefs.StreamPumper,1
org.apache.tools.ant.taskdefs.Zip,4
org.apache.tools.ant.Main,7
org.apache.tools.ant.taskdefs.Ant,6
org.apache.tools.ant.taskdefs.Expand,1
org.apache.tools.ant.taskdefs.ImportTask,3
org.apache.tools.ant.filters.ReplaceTokens,2
org.apache.tools.ant.taskdefs.SQLExec,3
org.apache.tools.zip.ZipEntry,5
org.apache.tools.zip.ZipFile,8
org.apache.tools.ant.taskdefs.Sync,2
org.apache.tools.ant.taskdefs.Checksum,1
org.apache.tools.ant.taskdefs.compilers.Jikes,1
org.apache.tools.ant.DirectoryScanner,1
org.apache.tools.ant.AntClassLoader,2
org.apache.tools.ant.IntrospectionHelper,4
org.apache.tools.ant.UnknownElement,1
org.apache.tools.ant.taskdefs.optional.perforce.P4Fstat,1
org.apache.tools.ant.taskdefs.optional.image.Image,1
org.apache.tools.ant.types.optional.image.Arc,1
org.apache.tools.ant.types.optional.image.Draw,1
org.apache.tools.ant.types.optional.image.Ellipse,1
org.apache.tools.ant.types.optional.image.Rectangle,1
org.apache.tools.ant.types.optional.image.Rotate,1
org.apache.tools.ant.types.optional.image.Scale,1
org.apache.tools.ant.taskdefs.MacroDef,1
org.apache.tools.ant.taskdefs.Property,1
org.apache.tools.ant.taskdefs.optional.junit.JUnitTask,1
org.apache.tools.ant.taskdefs.Execute,2
org.apache.tools.ant.taskdefs.ExecTask,2
org.apache.tools.ant.taskdefs.optional.Rpm,1
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask,1
org.apache.tools.ant.taskdefs.optional.script.ScriptDef,1
org.apache.tools.tar.TarInputStream,1
org.apache.tools.ant.taskdefs.StyleTest,1
org.apache.tools.ant.taskdefs.Manifest,1
org.apache.tools.ant.types.ZipFileSet,1
org.apache.tools.ant.types.PropertySet,1
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector,1
org.apache.tools.tar.TarUtils,1
