ClassName,nbBugs
org.apache.tools.ant.util.VectorSet,1
org.apache.tools.ant.taskdefs.PumpStreamHandler,1
org.apache.tools.ant.taskdefs.StreamPumper,1
org.apache.tools.ant.ProjectHelper,3
org.apache.tools.ant.helper.ProjectHelper2,2
org.apache.tools.ant.taskdefs.ImportTask,1
org.apache.tools.ant.filters.ReplaceTokens,1
org.apache.tools.zip.ZipFile,7
org.apache.tools.ant.AntClassLoader,3
org.apache.tools.ant.property.ResolvePropertyMap,2
org.apache.tools.ant.util.LayoutPreservingProperties,4
org.apache.tools.ant.taskdefs.optional.junit.FailureRecorder,12
org.apache.tools.ant.IntrospectionHelper,1
org.apache.tools.ant.util.FileUtils,2
org.apache.tools.ant.taskdefs.AbstractCvsTask,1
org.apache.tools.ant.taskdefs.optional.net.FTP,2
org.apache.tools.ant.types.FilterSet,1
org.apache.tools.ant.taskdefs.optional.net.FTPTaskMirrorImpl,1
org.apache.tools.ant.types.resources.selectors.Name,1
org.apache.tools.ant.taskdefs.Execute,1
org.apache.tools.ant.taskdefs.optional.junit.JUnitTask,1
org.apache.tools.ant.taskdefs.Jar,1
