ClassName,nbBugs
org.apache.tools.ant.taskdefs.ProcessDestroyer,1
org.apache.tools.ant.taskdefs.SQLExec,6
org.apache.tools.tar.TarInputStream,8
org.apache.tools.ant.taskdefs.Zip,5
org.apache.tools.ant.taskdefs.Expand,1
org.apache.tools.ant.taskdefs.Checksum,1
org.apache.tools.ant.taskdefs.Input,1
org.apache.tools.ant.AntClassLoader,3
org.apache.tools.ant.types.ZipFileSet,3
org.apache.tools.ant.IntrospectionHelper,3
org.apache.tools.ant.ProjectHelper,11
org.apache.tools.ant.taskdefs.email.MimeMailer,1
org.apache.tools.ant.taskdefs.optional.EchoProperties,1
org.apache.tools.ant.taskdefs.Execute,1
org.apache.tools.ant.taskdefs.Ant,2
org.apache.tools.ant.taskdefs.Manifest,1
org.apache.tools.ant.taskdefs.Pack,1
