ClassName,nbBugs
org.nd4j.autodiff.samediff.SameDiff,4
org.nd4j.autodiff.samediff.config.OutputConfig,1
org.nd4j.autodiff.functions.DifferentialFunctionFactory,2
org.nd4j.autodiff.samediff.SDVariable,2
org.nd4j.autodiff.validation.OpValidation,2
org.nd4j.imports.converters.ImportClassMapping,2
org.nd4j.autodiff.samediff.SameDiffTests,3
org.deeplearning4j.nn.layers.convolution.ConvolutionLayerTest,1
org.deeplearning4j.samediff.CompareTrainingImplementations,1
org.deeplearning4j.nn.conf.layers.samediff.SameDiffLambdaVertex,1
org.deeplearning4j.nn.layers.convolution.Deconvolution2DLayer,1
org.deeplearning4j.nn.layers.samediff.SameDiffGraphVertex,1
org.deeplearning4j.nn.layers.samediff.SameDiffLayer,1
org.deeplearning4j.nn.layers.samediff.SameDiffOutputLayer,1
org.nd4j.autodiff.functions.DifferentialFunction,1
org.nd4j.autodiff.listeners.impl.UIListener,1
org.nd4j.autodiff.samediff.TrainingConfig,1
org.nd4j.autodiff.samediff.internal.AbstractSession,1
org.nd4j.autodiff.samediff.internal.InferenceSession,2
org.nd4j.autodiff.samediff.ops.SDBaseOps,1
org.nd4j.autodiff.samediff.ops.SDValidation,1
org.nd4j.autodiff.samediff.serde.FlatBuffersMapper,1
org.nd4j.autodiff.samediff.transform.GraphTransformUtil,1
org.nd4j.autodiff.samediff.transform.SubGraph,1
org.nd4j.autodiff.samediff.transform.SubGraphPredicate,1
org.nd4j.autodiff.validation.GradCheckUtil,1
org.nd4j.autodiff.validation.TestCase,1
org.nd4j.graph.ui.LogFileWriter,1
org.nd4j.imports.graphmapper.tf.TFGraphMapper,1
org.nd4j.linalg.api.ops.BaseBroadcastBoolOp,1
org.nd4j.linalg.api.ops.BaseBroadcastOp,1
org.nd4j.linalg.api.ops.BaseIndexAccumulation,1
org.nd4j.linalg.api.ops.BaseOp,1
org.nd4j.linalg.api.ops.BaseReduceOp,1
org.nd4j.linalg.api.ops.BaseScalarBoolOp,1
org.nd4j.linalg.api.ops.BaseScalarOp,1
org.nd4j.linalg.api.ops.BaseTransformOp,1
org.nd4j.linalg.api.ops.DynamicCustomOp,1
org.nd4j.linalg.api.ops.impl.layers.ExternalErrorsFunction,1
org.nd4j.linalg.api.ops.impl.layers.convolution.DeConv2D,1
org.nd4j.linalg.api.ops.impl.layers.convolution.DeConv3D,1
org.nd4j.linalg.api.ops.impl.reduce.Mmul,1
org.nd4j.linalg.api.ops.impl.shape.Concat,1
org.nd4j.linalg.api.ops.impl.shape.Transpose,1
org.nd4j.linalg.api.ops.impl.shape.tensorops.TensorArrayConcat,1
org.nd4j.linalg.api.ops.impl.shape.tensorops.TensorArrayGather,1
org.nd4j.linalg.api.ops.impl.shape.tensorops.TensorArrayRead,1
org.nd4j.linalg.api.ops.impl.transforms.Constant,1
org.nd4j.linalg.api.ops.impl.transforms.MaxOut,1
org.nd4j.linalg.api.ops.impl.transforms.gradient.TanhDerivative,1
org.nd4j.linalg.api.ops.random.BaseRandomOp,1
org.nd4j.linalg.factory.Nd4j,2
org.nd4j.nativeblas.NativeOpsHolder,1
org.nd4j.jita.allocator.impl.MemoryTracker,1
org.nd4j.linalg.jcublas.JCublasBackend,1
org.nd4j.linalg.jcublas.ops.executioner.CudaExecutioner,1
org.nd4j.linalg.cpu.nativecpu.CpuBackend,1
org.nd4j.autodiff.TestSessions,1
org.nd4j.autodiff.execution.GraphExecutionerTest,1
org.nd4j.autodiff.opvalidation.LayerOpValidation,1
org.nd4j.autodiff.opvalidation.MiscOpValidation,1
org.nd4j.autodiff.opvalidation.ReductionOpValidation,1
org.nd4j.autodiff.opvalidation.RnnOpValidation,1
org.nd4j.autodiff.opvalidation.ShapeOpValidation,1
org.nd4j.autodiff.opvalidation.TransformOpValidation,1
org.nd4j.autodiff.samediff.FailingSameDiffTests,1
org.nd4j.autodiff.samediff.FlatBufferSerdeTest,1
org.nd4j.autodiff.samediff.GraphTransformUtilTests,1
org.nd4j.autodiff.samediff.NameScopeTests,1
org.nd4j.autodiff.samediff.SameDiffSpecifiedLossVarsTests,1
org.nd4j.autodiff.ui.FileReadWriteTests,1
org.nd4j.autodiff.ui.UIListenerTest,1
org.nd4j.imports.ExecutionTests,1
org.nd4j.imports.TFGraphs.BERTGraphTest,1
org.nd4j.imports.TFGraphs.ValidateZooModelPredictions,1
org.nd4j.imports.TensorFlowImportTest,1
org.nd4j.linalg.factory.Nd4jBackend,1
