ClassName,nbBugs
org.eclipse.jetty.io.ssl.SslConnection,41
org.eclipse.jetty.io.SelectChannelEndPointTest,34
org.eclipse.jetty.io.SelectChannelEndPoint,14
org.eclipse.jetty.io.SelectorManager,10
org.eclipse.jetty.server.HttpConnection,116
org.eclipse.jetty.spdy.StandardSession,17
org.eclipse.jetty.spdy.AsyncTimeoutTest,17
org.eclipse.jetty.spdy.StandardSessionTest,17
org.eclipse.jetty.server.HttpChannel,94
org.eclipse.jetty.server.HttpOutput,19
org.eclipse.jetty.server.Response,19
org.eclipse.jetty.server.ResponseTest,20
org.eclipse.jetty.io.AbstractConnection,6
org.eclipse.jetty.io.AbstractEndPoint,9
org.eclipse.jetty.websocket.server.WebSocketServerFactory,102
org.eclipse.jetty.websocket.client.WebSocketClient,51
org.eclipse.jetty.websocket.server.blockhead.BlockheadClient,27
org.eclipse.jetty.spdy.ISession,10
org.eclipse.jetty.spdy.api.ClientUsageTest,10
org.eclipse.jetty.websocket.client.WebSocketClientTest,5
org.eclipse.jetty.websocket.client.blockhead.BlockheadServer,2
org.eclipse.jetty.io.ByteArrayEndPoint,3
org.eclipse.jetty.server.ssl.SslBytesServerTest,1
org.eclipse.jetty.websocket.server.WebSocketLoadRFC6455Test,2
org.eclipse.jetty.websocket.server.WebSocketOverSSLTest,5
org.eclipse.jetty.websocket.server.WebSocketServletRFCTest,14
org.eclipse.jetty.websocket.server.helper.CaptureSocket,1
org.eclipse.jetty.http.HttpGenerator,84
org.eclipse.jetty.http.HttpGeneratorServerTest,26
org.eclipse.jetty.security.ConstraintSecurityHandler,1
org.eclipse.jetty.security.ConstraintTest,1
org.eclipse.jetty.util.BufferUtil,43
org.eclipse.jetty.http.HttpTokens,17
org.eclipse.jetty.http.HttpParser,6
org.eclipse.jetty.http.HttpParserTest,1
org.eclipse.jetty.servlets.MultipartFilterTest,17
org.eclipse.jetty.http.MimeTypes,5
org.eclipse.jetty.http.HttpFields,1
org.eclipse.jetty.util.DateCache,3
org.eclipse.jetty.server.handler.ContextHandlerCollection,3
org.eclipse.jetty.server.HttpServerTestBase,2
