ClassName,nbBugs
org.eclipse.jetty.websocket.server.browser.BrowserDebugTool,5
org.eclipse.jetty.websocket.client.examples.SimpleEchoClient,1
org.eclipse.jetty.osgi.test.TestJettyOSGiBootCore,5
org.eclipse.jetty.websocket.server.WebSocketServerFactory,2
org.eclipse.jetty.websocket.server.ChromeTest,1
org.eclipse.jetty.websocket.server.blockhead.BlockheadClient,1
org.eclipse.jetty.client.AuthenticationProtocolHandler,3
org.eclipse.jetty.client.ContinueProtocolHandler,2
org.eclipse.jetty.client.HttpContentResponse,3
org.eclipse.jetty.client.api.Request,3
org.eclipse.jetty.websocket.server.ServletWebSocketRequest,1
org.eclipse.jetty.security.ConstraintSecurityHandler,1
org.eclipse.jetty.security.ConstraintTest,1
org.eclipse.jetty.security.SpecExampleConstraintTest,1
org.eclipse.jetty.server.Request,3
org.eclipse.jetty.server.RequestTest,1
org.eclipse.jetty.client.HttpReceiver,2
org.eclipse.jetty.io.SelectorManager,2
org.eclipse.jetty.server.HttpOutput,1
org.eclipse.jetty.deploy.providers.WebAppProvider,1
org.eclipse.jetty.server.HttpConnection,1
org.eclipse.jetty.annotations.AbstractDiscoverableAnnotationHandler,1
org.eclipse.jetty.annotations.AnnotationConfiguration,1
org.eclipse.jetty.annotations.AnnotationParser,1
org.eclipse.jetty.annotations.ClassInheritanceHandler,1
org.eclipse.jetty.annotations.ContainerInitializerAnnotationHandler,1
org.eclipse.jetty.annotations.WebFilterAnnotationHandler,1
org.eclipse.jetty.annotations.WebListenerAnnotationHandler,1
org.eclipse.jetty.annotations.WebServletAnnotationHandler,1
org.eclipse.jetty.annotations.TestAnnotationInheritance,1
org.eclipse.jetty.annotations.TestAnnotationParser,1
org.eclipse.jetty.osgi.annotations.AnnotationConfiguration,1
org.eclipse.jetty.io.SelectChannelEndPoint,1
org.eclipse.jetty.client.api.ContentResponse,1
org.eclipse.jetty.client.util.BufferingResponseListener,1
org.eclipse.jetty.server.Server,1
org.eclipse.jetty.servlet.DispatcherTest,1
org.eclipse.jetty.client.HttpClientTest,1
org.eclipse.jetty.client.HttpClientExplicitConnectionTest,1
org.eclipse.jetty.client.HttpConnectionLifecycleTest,1
