ClassName,nbBugs
org.eclipse.jetty.util.ssl.SslContextFactory,5
org.eclipse.jetty.websocket.client.TomcatServerQuirksTest,4
org.eclipse.jetty.client.HttpSender,7
org.eclipse.jetty.spdy.server.proxy.ProxySPDYToHTTPLoadTest,3
org.eclipse.jetty.spdy.server.proxy.ProxySPDYToHTTPTest,3
org.eclipse.jetty.spdy.server.proxy.ProxySPDYToSPDYTest,3
org.eclipse.jetty.websocket.client.WebSocketClientTest,6
org.eclipse.jetty.websocket.server.WebSocketOverSSLTest,2
org.eclipse.jetty.websocket.server.helper.SessionSocket,1
org.eclipse.jetty.websocket.server.ServletWebSocketRequest,1
org.eclipse.jetty.runner.Runner,5
org.eclipse.jetty.websocket.client.ClientUpgradeResponse,1
org.eclipse.jetty.websocket.client.io.HttpResponseHeaderParser,1
org.eclipse.jetty.websocket.client.io.UpgradeConnection,1
org.eclipse.jetty.websocket.api.annotations.OnWebSocketError,1
org.eclipse.jetty.websocket.client.ClientConnectTest,1
org.eclipse.jetty.servlets.EventSourceServletTest,1
org.eclipse.jetty.server.Server,1
org.eclipse.jetty.client.HttpClientStreamTest,4
org.eclipse.jetty.client.HttpClientTest,1
org.eclipse.jetty.io.ssl.SslConnection,1
org.eclipse.jetty.websocket.common.Parser,1
org.eclipse.jetty.websocket.client.WebSocketClient,1
