ClassName,nbBugs
org.eclipse.jetty.websocket.server.WebSocketServletRFCTest,2
org.eclipse.jetty.websocket.server.ab.Fuzzer,2
org.eclipse.jetty.websocket.server.blockhead.BlockheadClient,2
org.eclipse.jetty.websocket.server.blockhead.HttpResponse,2
org.eclipse.jetty.spdy.server.http.ReferrerPushStrategyTest,1
org.eclipse.jetty.http.HttpParser,5
org.eclipse.jetty.http.HttpGeneratorServerTest,3
org.eclipse.jetty.server.HttpInput,5
org.eclipse.jetty.server.HttpConnection,1
org.eclipse.jetty.client.HttpSender,5
org.eclipse.jetty.servlet.DefaultServlet,1
org.eclipse.jetty.server.HttpChannelState,2
org.eclipse.jetty.server.AsyncContextState,6
org.eclipse.jetty.start.Main,3
org.eclipse.jetty.osgi.test.TestJettyOSGiBootContextAsService,1
org.eclipse.jetty.osgi.test.TestJettyOSGiBootCore,1
org.eclipse.jetty.osgi.test.TestJettyOSGiBootSpdy,1
org.eclipse.jetty.osgi.test.TestJettyOSGiBootWebAppAsService,1
org.eclipse.jetty.osgi.test.TestJettyOSGiBootWithJsp,1
org.eclipse.jetty.server.Request,1
