ClassName,nbBugs
org.apache.jmeter.reporters.ResultCollector,35
org.apache.jmeter.control.GenericController,1
org.apache.jorphan.collections.HashTree,1
org.apache.jmeter.JMeter,33
org.apache.jmeter.save.CSVSaveService,2
org.apache.jmeter.samplers.SampleSaveConfiguration,4
org.apache.jmeter.gui.action.Help,19
org.apache.jmeter.visualizers.ViewResultsFullVisualizer,3
org.apache.jmeter.protocol.http.gui.HTTPFileArgsPanel,8
org.apache.jmeter.extractor.gui.XPathExtractorGui,1
org.apache.jmeter.util.XPathUtil,3
org.apache.jmeter.protocol.http.sampler.HTTPSamplerBase,2
org.apache.jmeter.samplers.SampleResult,16
org.apache.jmeter.threads.ThreadGroup,9
org.apache.jmeter.visualizers.StatGraphVisualizer,11
org.apache.jmeter.timers.PackageTest,1
org.apache.jmeter.protocol.jdbc.sampler.JDBCSampler,2
org.apache.jmeter.engine.ClientJMeterEngine,2
org.apache.jmeter.config.CSVDataSet,1
org.apache.jmeter.util.BeanShellTestElement,1
org.apache.jmeter.gui.GuiPackage,2
org.apache.jmeter.services.FileServer,2
org.apache.jmeter.protocol.java.config.gui.JavaConfigGui,2
org.apache.jmeter.protocol.http.config.gui.UrlConfigGui,2
org.apache.jmeter.reporters.ResultSaver,2
