ClassName,nbBugs
org.apache.jmeter.save.SaveService,3
org.apache.jmeter.visualizers.SearchTextExtension,1
org.apache.jmeter.report.config.ReportGeneratorConfiguration,1
org.apache.jmeter.report.dashboard.ReportGenerator,1
org.apache.jmeter.protocol.http.gui.HTTPFileArgsPanel,1
org.apache.jmeter.testbeans.gui.TableEditor,2
org.apache.jmeter.extractor.json.render.RenderAsJsonRenderer,1
org.apache.jmeter.visualizers.SearchTreePanel,1
org.apache.jmeter.gui.action.validation.TreeClonerForValidation,1
org.apache.jmeter.util.JSR223TestElement,1
org.apache.jmeter.functions.SplitFunctionTest,2
org.apache.jmeter.threads.JMeterThread,1
org.apache.jmeter.report.core.CsvSampleReader,3
org.apache.jmeter.modifiers.CounterConfig,1
org.apache.jmeter.modifiers.gui.CounterConfigGui,1
org.apache.jmeter.functions.VariableTest,1
org.apache.jmeter.report.core.Sample,1
