ClassName,nbBugs
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.PDEUIMessages,43
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.launcher.AbstractPluginBlock,46
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.editor.product.IntroSection,2
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.wizards.product.ProductIntroWizardPage,2
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.wizards.product.ProductDefinitonWizardPage,1
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.launcher.LaunchAction,1
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.launcher.LaunchPluginValidator,1
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.launcher.LauncherUtils,1
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.launcher.PluginBlock,1
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.editor.plugin.ManifestEditor,1
org.eclipse.pde.ui.src.org.eclipse.pde.internal.ui.editor.plugin.OverviewPage,1
